Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
2482,1853,12,Q14194,22937843.2273,20.4555,2.0786,26186918867482.7,0.9792,0,kirkwood_rep3
2483,1854,12,Q14195,194971663.6293,19.4118,1.9584,65851093441795.8,0.9992,0,kirkwood_rep3
2484,1855,12,Q14197,2780987.8251,9.9986,1.6769,987237358801.752,0.9403,0,kirkwood_rep3
2485,1856,12,Q14202,2393636.3713,8.9045,4.7441,1052131781261.33,0.9938,0,kirkwood_rep3
2486,1856,12,Q14202,8664152.7867,20.986,2.1302,1052131781261.33,0.9938,0,kirkwood_rep3
2487,1857,12,Q14203,476583313.1402,11.1675,1.7938,1.55036162277439E+015,0.9933,0,kirkwood_rep3
2488,1858,12,Q14204,30355353333.4719,7.5124,2.4206,1961400525976861,0.9822,0,kirkwood_rep3
2489,1858,12,Q14204,1278944485.2255,7.0884,-3.3416,1961400525976861,0.9822,0,kirkwood_rep3
2490,1859,12,Q14232,6257263.6219,5.6617,3.6161,15926832935978.6,0.9727,0,kirkwood_rep3
2491,1859,12,Q14232,15080327.3315,27.9516,2.3014,15926832935978.6,0.9727,0,kirkwood_rep3
2492,1860,12,Q14240,4009772.2954,26.4408,4.6787,9514154642368.75,0.9916,0,kirkwood_rep3
2493,1860,12,Q14240,18772523.3557,28.2379,1.7988,9514154642368.75,0.9916,0,kirkwood_rep3
2494,1861,12,Q14247,76422689.198,21.2156,1.9666,47102276160386.3,0.8824,0,kirkwood_rep3
2495,1861,12,Q14247,37226329.9724,29.2615,-4.6721,47102276160386.3,0.8824,0,kirkwood_rep3
2496,1862,12,Q14257,16760506.9575,2.3092,2.1022,10856539454343.2,0.9632,0,kirkwood_rep3
2497,1862,12,Q14257,44919779.9793,21.4573,2.1527,10856539454343.2,0.9632,0,kirkwood_rep3
2498,1863,12,Q14258,11279296.4628,6.992,3.1856,20399028089913.6,0.9852,0,kirkwood_rep3
2499,1863,12,Q14258,22942914.6516,18.858,1.7479,20399028089913.6,0.9852,0,kirkwood_rep3
2500,1863,12,Q14258,7744949.8295,16.5742,6.9185,20399028089913.6,0.9852,0,kirkwood_rep3
2501,1864,12,Q14315,1467185719.5426,9.4203,2.8081,5475450975904361,0.9975,0,kirkwood_rep3
2502,1865,12,Q14318,12638016.2824,2.3744,2.0036,1707330349988.82,0.994,0,kirkwood_rep3
2503,1867,12,Q14353,61531316.8628,30.9239,2.3276,131624392185016,0.9877,0,kirkwood_rep3
2504,1868,12,Q14376,94296404.4118,28.2043,2.119,20394433542237.3,0.999,0,kirkwood_rep3
2505,1869,12,Q14444,53709891.9508,8.132,2.5013,133002172504254,0.9983,0,kirkwood_rep3
2506,1869,12,Q14444,64267699.364,14.6247,4.0871,133002172504254,0.9983,0,kirkwood_rep3
